Report_Volume,Observation_Date,ENSO,Species,Observation_Location,New_Latitude,New_Longitude,Historical_Northward_Bound,Old_Latitude,Old_Longitude,Notes,,
7,Oct-57,El Ni–o,Doliolum denticulatum,Point Conception,34.448242,-120.472067,San Diego,32.713002,-117.257652,,,
7,Apr-58,El Ni–o,Doliolum denticulatum,Monterey,36.605906,-121.891714,San Diego,32.713002,-117.257652,,,
7,Apr-41,El Ni–o,Pleuroncodes planipes,San Pedro,33.704116,-118.294099,Baja California,30.963701,-116.334789,selected arbitrary lat/long for Baja CA ,,
7,Dec-57,El Ni–o,Pleuroncodes planipes,San Pedro,33.704116,-118.294099,Baja California,30.963701,-116.334789,selected arbitrary lat/long for Baja CA ,,
7,Dec-57,El Ni–o,Valella sp.,Alaska,60.75238,-147.037862,warm water,34.448242,-120.472067,Month not indicated in text; selected arbitrary lat/long for new location; arbitrarily selected PC for warm water end,,
9,Apr-58,El Ni–o,Doliolum denticulatum,north,,,40N,40,-124.028183,arbitrary old long selected,,
9,Apr-58,El Ni–o,Nyctiphanes simplex,north,,,Southern California,34.448242,-120.472067,arbitrarily selected PC for warm water end (old lat/long),,
9,Dec-58,El Ni–o,Pleuroncodes planipes,Monterey,36.605906,-121.891714,Baja California,30.963701,-116.334789,selected arbitrary lat/long for Baja CA ,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,